,logFC,AveExpr,t,P.Value,adj.P.Val,B
IL16,-0.280562378758373,4.5436149719784,-10.1033905212852,1.29192245900519e-21,8.14519908447146e-20,38.3195207707223
PTPN6,-0.662235566866092,6.55320123004652,-10.0834216638341,1.52149115003558e-21,9.54260230662939e-20,38.1584127388746
HAMP,-1.4074187536005,7.03502602187975,-10.0822996941208,1.53552902827813e-21,9.58074640338094e-20,38.1493664468155
CXCL12,-0.882669353280973,5.58165331896517,-10.0794682546642,1.5715298325699e-21,9.75482589886943e-20,38.1265396371435
VNN2,-0.812646529891376,5.08090253979887,-10.0669517249711,1.74097984506902e-21,1.07512201509339e-19,38.0256790264053
NPL,-0.921621443945676,6.75644680143639,-10.0597013265154,1.84730845101982e-21,1.1349636922031e-19,37.9672886631572
NLRP3,-0.151485141355263,4.0806579028464,-10.057736976585,1.87720976042958e-21,1.14748019975091e-19,37.9514733592235
PIK3CG,-0.235294680419766,4.30268590579732,-10.0565827360238,1.89500320797082e-21,1.15250649648407e-19,37.9421812529098
ACTA2,-1.06287808475101,9.41632123470341,-10.0479802750935,2.03299769285525e-21,1.23021900589763e-19,37.8729483320859
HLA-DRB1,-1.16746765309155,10.5805039791042,-10.0193014767875,2.56918578511339e-21,1.54690676121677e-19,37.6424005438098
SERPINF1,-1.17238981764291,8.05332634160656,-10.0041812826221,2.90618415934709e-21,1.73856277818275e-19,37.5210114568238
CIDEB,-0.382242308650045,5.32888624894556,-10.0037517251415,2.91637336981329e-21,1.73856277818275e-19,37.5175644841807
CCL20,-1.21645968381898,5.08309326972164,-9.99496180984082,3.13283694680868e-21,1.85840504992464e-19,37.4470498791457
CTSH,-0.970990778611728,8.81410726248361,-9.96217054485161,4.09067095331602e-21,2.41469900097213e-19,37.1843256898646
FCGR3B,-0.725395765010584,5.84291824242239,-9.92421441442379,5.56692916312004e-21,3.27009565767276e-19,36.8808816462668
WAS,-0.267508316859462,6.13433893640581,-9.90974584688396,6.2596019582624e-21,3.65913236802892e-19,36.7653987516292
PTAFR,-0.426174128168423,5.15294422769208,-9.88276693707437,7.7874713778996e-21,4.51938458642051e-19,36.5503402614212
MXRA5,-1.45697821163554,7.05831444039506,-9.88246872704288,7.80627797687649e-21,4.51938458642051e-19,36.5479651453876
DENND2D,-0.840667159424486,5.37639290821246,-9.87857199074482,8.05620807909713e-21,4.64176352576496e-19,36.5169333683603
BNC2,-0.757402673157173,5.12470403258498,-9.87223259689341,8.47988264412109e-21,4.86260699050029e-19,36.4664655780389
S100A11,-0.919949756155296,9.0342416421703,-9.86776229727333,8.79186457202226e-21,5.0176129467437e-19,36.4308896553405
IL13RA1,-0.746559620678878,7.00764571888414,-9.86222589982511,9.19408050884746e-21,5.22241120224251e-19,36.3868432412674
IL2RA,-0.515663774124061,4.40592109083601,-9.82191275931266,1.27282706962839e-20,7.19595472885686e-19,36.0665825302687
PRF1,-0.707518931826038,5.24963218866976,-9.78856027767827,1.66484963880868e-20,9.36828007034303e-19,35.8022361603194
TRPV2,-0.450454830402196,4.95807979512385,-9.7645829542972,2.01862123095797e-20,1.13061566805562e-18,35.6125423222632
ANPEP,-0.790303821936766,4.5639102212921,-9.76151555329532,2.06895446461288e-20,1.15344211402168e-18,35.5882959040682
RARRES1,-1.16021429150436,5.29510261682049,-9.75358629007339,2.20491054533064e-20,1.22357293948717e-18,35.5256407424209
ASCL1,1.01893766578738,6.30281006319346,9.74367919079054,2.38729555955482e-20,1.31870702422748e-18,35.4474019766511
ALOX5AP,-1.37270443256155,9.5035122554831,-9.73373381258176,2.58543284524759e-20,1.42163389600326e-18,35.3689110206863
SH3TC1,-0.597046201973262,5.30555598424568,-9.73108533584223,2.64089353212675e-20,1.44552908699411e-18,35.3480171750772
DENND3,-0.483564308783518,5.38454010300127,-9.72739886411737,2.72006050152428e-20,1.48212527417898e-18,35.3189405195161
ENG,-0.43102531299252,5.76069239143511,-9.71882969900367,2.91329783507834e-20,1.58026723108168e-18,35.251378855405
ATP8B4,-0.452026335679013,4.3524508713617,-9.69909516753147,3.41166898165809e-20,1.83639255344249e-18,35.0959286746543
EMR1,-0.593815321447409,4.43314286900582,-9.69893737209436,3.41597684745986e-20,1.83639255344249e-18,35.0946865105984
